Label,VideoID,DurationSec,TotalComments,UniqueCorrelated,PctCorrelated,Engagement,TopTopicID,TopTopicCount,TopTopicAvgScore,TopTopicPct
Conv,OBM5T5_kgdI,512.580499,440,97,0.22045454545454546,51.5041053093204,T1,97,80.4639175257732,0.22045454545454546
Conv,PlKeFj5teo4,437.6,81,20,0.24691358024691357,11.106032906764167,T7,14,80.0,0.1728395061728395
Conv,PS_p3O9q4YI,1259.868299,61,20,0.32786885245901637,2.9050655555862988,T1,14,80.35714285714286,0.22950819672131148
Conv,sL0LtyfNYkM,961.445442,41,4,0.0975609756097561,2.5586475243802758,T3,4,82.5,0.0975609756097561
Conv,tFVAaUcOm4I,1338.467846,180,24,0.13333333333333333,8.068927492188706,T5,19,80.78947368421052,0.10555555555555556
Conv,UrCFv2qCELI,745.337324,886,81,0.09142212189616253,71.32341060649742,T2,55,79.63636363636364,0.062076749435665914
Conv,URj7TorDHmQ,669.175873,7,3,0.42857142857142855,0.627637691294946,T3,3,80.0,0.42857142857142855
Conv,wEevt2a4SKI,5766.1934,308,43,0.1396103896103896,3.2048873005196117,T6,31,81.45161290322581,0.10064935064935066
Conv,wKyt5ssrDQ8,258.716735,3,0,0.0,0.6957416187244322,None,0,0.0,0.0
Conv,WoxDbIbpP_Q,2109.57932,380,104,0.2736842105263158,10.80784201088964,T3,70,80.42857142857143,0.18421052631578946
Conv,XRsJRqipSx8,1082.839365,17,6,0.35294117647058826,0.9419679713989711,T5,6,81.66666666666667,0.35294117647058826
Conv,yctzuuGAm-E,2431.82585,131,6,0.04580152671755725,3.232139340898938,T1,5,80.0,0.03816793893129771
Conv,zt7YAna-Qcc,938.968526,46,18,0.391304347826087,2.939395649135954,T4,13,78.46153846153847,0.2826086956521739
Conv,zUyj7Xn9-sk,230.040091,16,1,0.0625,4.1731856209359615,T1,1,80.0,0.0625
Conv,_VzHpLjKeZ8,2957.363084,105,26,0.24761904761904763,2.13027613487313,T6,22,81.13636363636364,0.20952380952380953
Emb,-qCO7NUpLc0,479.161,238,5,0.02100840336134454,29.802091572561206,T1,6,96.66666666666667,0.025210084033613446
Emb,09c4bdKM5Kw,875.981,40,9,0.225,2.7397854519675655,T1,6,80.0,0.15
Emb,15cdyl2PU-E,428.641,45,14,0.3111111111111111,6.298977465991354,T4,10,80.5,0.2222222222222222
Emb,31ArBvYoG2Q,1648.181,168,44,0.2619047619047619,6.115833151820097,T3,28,80.0,0.16666666666666666
Emb,35YuILUlfGs,664.661,966,121,0.12525879917184266,87.20234826475452,T5,50,80.0,0.051759834368530024
Emb,3cFSNRG2xfA,151.9518,24,5,0.20833333333333334,9.476689318586551,T3,5,80.0,0.20833333333333334
Emb,3dQjIeYoIdM,478.921,863,106,0.12282734646581692,108.11804034485854,T3,85,80.76470588235294,0.0984936268829664
Emb,56p3_aORiJ0,1209.921,554,83,0.14981949458483754,27.472868063286775,T2,60,80.33333333333333,0.10830324909747292
Emb,7JH1_ZKV7t4,523.701,1416,116,0.08192090395480225,162.22997473749334,T2,81,79.81481481481481,0.057203389830508475
Emb,9fYzb1g8tzw,652.061,68,19,0.27941176470588236,6.25708330969035,T1,11,79.0909090909091,0.16176470588235295
Emb,a3wDEcORRR4,461.027233,54,21,0.3888888888888889,7.027784408562259,T1,15,79.66666666666667,0.2777777777777778
Emb,AN3yxIBAxTA,984.121,344,107,0.311046511627907,20.973030755364434,T1,74,80.74324324324324,0.21511627906976744
Emb,CAYKno16weE,649.941,264,58,0.2196969696969697,24.371442946359746,T1,46,79.78260869565217,0.17424242424242425
Emb,cggDZE7gZNw,556.861,252,5,0.01984126984126984,27.152197765690183,T2,8,82.5,0.031746031746031744
Emb,CvMDlG_AF3Q,569.701,446,5,0.011210762331838564,46.972008123559554,T1,8,83.75,0.017937219730941704
Emb,DeSDjjicGWY,954.441,704,110,0.15625,44.256271471992505,T6,54,80.0925925925926,0.07670454545454546
Emb,dKB7uHYU-ow,284.241,3,0,0.0,0.6332654332063284,None,0,0.0,0.0
Emb,DkbfBIMSdgo,384.701,217,42,0.1935483870967742,33.844466221819026,T1,34,80.44117647058823,0.15668202764976957
Emb,DOWDNBu9DkU,1291.521,2812,37,0.013157894736842105,130.6366679287445,T1,14,81.07142857142857,0.004978662873399715
Emb,DQOt-m7rg80,531.861,18,6,0.3333333333333333,2.0306057409736753,T1,4,80.0,0.2222222222222222
Emb,dV8rpGUoxns,1019.921,215,94,0.4372093023255814,12.64803842650558,T2,83,81.32530120481928,0.386046511627907
Emb,ERLMO-nay30,344.201,84,2,0.023809523809523808,14.64260708132748,T1,1,80.0,0.011904761904761904
Emb,fcmXG3wB_1M,578.361,118,6,0.05084745762711865,12.241489312038674,T1,5,82.0,0.0423728813559322
Emb,FNG9f2qJdWk,341.461,86,7,0.08139534883720931,15.11153543157198,T2,6,80.0,0.06976744186046512
Emb,GbdF6th5PZk,485.161,104,1,0.009615384615384616,12.861709824161462,T1,1,75.0,0.009615384615384616
Emb,gdJHi9I0V4w,581.461,225,5,0.022222222222222223,23.217378293643083,T3,3,83.33333333333333,0.013333333333333334
Emb,Gpm-TI21x9s,1048.221,94,13,0.13829787234042554,5.380544751536174,T3,10,79.0,0.10638297872340426
Emb,GqCn94Ksdbo,603.481,31,9,0.2903225806451613,3.082118575398397,T2,8,81.875,0.25806451612903225
Emb,h50JwrVl2nQ,366.561,61,8,0.13114754098360656,9.984695589547169,T1,7,79.28571428571429,0.11475409836065574
Emb,hnPi6i8Ua1M,365.441,19,8,0.42105263157894735,3.119518609023071,T2,8,82.5,0.42105263157894735
