video_id,duration_seconds,total_comments,unique_correlated,pct_correlated,engagement,top_topic_id,top_topic_count,top_topic_avg_score,top_topic_pct
LYJDlz5w77Y,1022.888533,20,3,0.15,1.1731483551590463,T4,3,83.33333333333333,0.15
mcAMNsmT6uE,653.141,0,0,0.0,0.0,None,0,0.0,0.0
muGlauyfOGsT,506.601,1,0,0.0,0.11843640261270703,None,0,0.0,0.0
N5DbiWFjbh8,1073.121,116,38,0.3275862068965517,6.485755101242077,T1,29,80.17241379310344,0.25
NQvVeLHzfSs,132.541,26,15,0.5769230769230769,11.769942885597665,T1,13,80.0,0.5
nxMkX0wtLm4,341.861,104,1,0.009615384615384616,18.25303266532304,T1,1,80.0,0.009615384615384616
P4GsoMTv-SY,1216.141,335,88,0.2626865671641791,16.52768881239922,T1,65,80.38461538461539,0.19402985074626866
PfFkm0Kgkn0,382.361,15,1,0.06666666666666667,2.353796543057477,T1,1,80.0,0.06666666666666667
PWyqVEkZGWk,877.981,35,19,0.5428571428571428,2.391851304299296,T2,16,81.25,0.45714285714285713
qNLvoSQCx60,623.661,410,50,0.12195121951219512,39.44450590946043,T6,30,81.5,0.07317073170731707
r0kBl1__VEQ,843.301,79,28,0.35443037974683544,5.620768859517539,T1,16,80.3125,0.20253164556962025
R2UqeJbK2yc,424.701,170,9,0.052941176470588235,24.01689659313258,T1,9,83.33333333333333,0.052941176470588235
raTtiqWOFW8,503.161,427,0,0.0,50.91809579836275,None,0,0.0,0.0
re-dSV_a0tM,1440.801,194,49,0.25257731958762886,8.07883947887321,T2,30,80.16666666666667,0.15463917525773196
rw3I118gQa8,594.481,365,0,0.0,36.838856077822506,None,0,0.0,0.0
s0dNRe0XWJ8,1016.741,290,28,0.09655172413793103,17.113502848808107,T1,25,81.2,0.08620689655172414
S0j4xOuRzD4,649.901,1326,0,0.0,122.4186453013613,None,0,0.0,0.0
sF0KOVWj9p8,730.701,630,153,0.24285714285714285,51.731145844880466,T6,84,79.70238095238095,0.13333333333333333
sHwSIcIdeDI,503.76,38,1,0.02631578947368421,4.525964745116723,T1,1,80.0,0.02631578947368421
sI5Ftm1-jik,254.541,1733,0,0.0,408.50000589296025,None,0,0.0,0.0
t4LPzGIr41c,678.761,344,41,0.11918604651162791,30.408346973382386,T4,26,79.42307692307692,0.0755813953488372
u40kX1DYKdA,458.421,268,74,0.27611940298507465,35.07692710412481,T1,67,81.49253731343283,0.25
U5cqrrhq9TA,685.361,1121,198,0.17662801070472792,98.13806154712626,T3,131,80.19083969465649,0.11685994647636039
w49SSxiPK_Q,236.161,118,1,0.00847457627118644,29.979547850830578,T1,3,86.66666666666667,0.025423728813559324
wmTlM5s2xTY,891.281,8,2,0.25,0.5385506927669277,T2,2,80.0,0.25
WoHjWZFTnpQ,651.466667,10,0,0.0,0.9209987715303934,None,0,0.0,0.0
WpE4mQegNLgESP32,0,20,7,0.35,20.0,T1,8,80.0,0.4
YIAQ80evrFM,293.261,0,0,0.0,0.0,None,0,0.0,0.0
yPwYNUDkkZs,1189.621,329,48,0.1458966565349544,16.593520121114203,T1,33,81.36363636363636,0.10030395136778116
YQ8ZhHBraZg,192.181,270,28,0.1037037037037037,84.29553389773181,T2,20,81.75,0.07407407407407407
YQeOmeMGpvE,790.261,125,34,0.272,9.490535405391384,T1,26,80.0,0.208
z58RORCUTao,612.041,1221,296,0.24242424242424243,119.6978633784338,T3,123,80.97560975609755,0.10073710073710074
ZOuZWE_tfgQ,969.341,406,109,0.2684729064039409,25.13047524039528,T1,89,80.1685393258427,0.21921182266009853
zZE4AejgDOA,584.561,1,1,1.0,0.10264112727328713,T1,1,80.0,1.0
_HHxV-7alwE,2660.021,305,66,0.21639344262295082,6.879644935133971,T1,61,81.14754098360656,0.2
